"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"3517";3517;"2011-05-31";2;0;5;10;0;2;1;1;0,82;0,7879;0,56;0,1343;37;72;109
"963";963;"2011-02-12";1;0;2;17;0;6;0;1;0,32;0,2879;0,31;0,5224;24;113;137
"8287";8287;"2011-12-16";4;0;12;22;0;5;1;2;0,3;0,303;0,49;0,1642;6;100;106
"643";643;"2011-01-30";1;0;1;1;0;0;0;1;0,14;0,2121;0,8;0;7;22;29
"8127";8127;"2011-12-10";4;0;12;6;0;6;0;1;0,24;0,2576;0,65;0,1045;1;10;11
"15531";15531;"2012-10-14";4;1;10;7;0;0;0;1;0,42;0,4242;0,82;0,2239;7;44;51
"6823";6823;"2011-10-16";4;0;10;20;0;0;0;1;0,54;0,5152;0,52;0,4627;49;129;178
"8392";8392;"2011-12-21";1;0;12;7;0;3;1;2;0,36;0,3636;0,87;0,1045;5;224;229
"6793";6793;"2011-10-15";4;0;10;14;0;6;0;1;0,6;0,6212;0,33;0,4627;242;230;472
"16455";16455;"2012-11-23";4;1;11;8;0;5;1;1;0,24;0,2576;0,87;0,0896;11;83;94
"14919";14919;"2012-09-18";3;1;9;19;0;2;1;2;0,6;0,5455;0,88;0,2985;22;302;324
"892";892;"2011-02-09";1;0;2;15;0;3;1;2;0,2;0,1818;0,34;0,2836;3;61;64
"7334";7334;"2011-11-07";4;0;11;4;0;1;1;1;0,32;0,3485;0,93;0;2;4;6
"12687";12687;"2012-06-17";2;1;6;19;0;0;0;1;0,64;0,6212;0,53;0,1642;146;244;390
"1668";1668;"2011-03-15";1;0;3;1;0;2;1;1;0,3;0,303;0,62;0,0896;4;6;10
"7972";7972;"2011-12-03";4;0;12;19;0;6;0;1;0,3;0,3182;0,61;0,0896;31;144;175
"5224";5224;"2011-08-10";3;0;8;13;0;3;1;1;0,82;0,7273;0,38;0,2836;41;150;191
"14523";14523;"2012-09-02";3;1;9;7;0;0;0;1;0,66;0,5909;0,94;0,0896;13;29;42
"12333";12333;"2012-06-03";2;1;6;1;0;0;0;1;0,54;0,5152;0,56;0,1343;21;100;121
"11242";11242;"2012-04-18";2;1;4;14;0;3;1;3;0,44;0,4394;0,72;0,1045;8;43;51
"15532";15532;"2012-10-14";4;1;10;8;0;0;0;1;0,44;0,4394;0,77;0,194;28;104;132
"5294";5294;"2011-08-13";3;0;8;11;0;6;0;2;0,74;0,697;0,7;0,194;122;192;314
"8010";8010;"2011-12-05";4;0;12;9;0;1;1;2;0,36;0,3636;0,87;0,0896;12;178;190
"5049";5049;"2011-08-03";3;0;8;6;0;3;1;3;0,72;0,6818;0,66;0,4925;9;101;110
"6900";6900;"2011-10-20";4;0;10;2;0;4;1;1;0,56;0,5303;0,88;0,4478;0;4;4
"2431";2431;"2011-04-16";2;0;4;4;0;6;0;2;0,36;0,3485;0,87;0,2239;1;4;5
"16616";16616;"2012-11-30";4;1;11;2;0;5;1;1;0,24;0,2879;0,75;0;2;10;12
"9204";9204;"2012-01-24";1;1;1;9;0;2;1;2;0,32;0,3333;0,87;0,0896;11;244;255
"16118";16118;"2012-11-09";4;1;11;7;0;5;1;1;0,26;0,2727;0,65;0,1343;9;332;341
"8426";8426;"2011-12-22";1;0;12;17;0;4;1;2;0,44;0,4394;0,67;0,1642;24;332;356
"7547";7547;"2011-11-16";4;0;11;1;0;3;1;3;0,46;0,4545;0,94;0,0896;0;5;5
"11292";11292;"2012-04-20";2;1;4;16;0;5;1;1;0,66;0,6212;0,44;0,194;151;429;580
"8854";8854;"2012-01-09";1;1;1;17;0;1;1;3;0,22;0,2727;0,87;0;5;147;152
"7603";7603;"2011-11-18";4;0;11;9;0;5;1;1;0,26;0,2576;0,41;0,194;6;207;213
"15087";15087;"2012-09-25";4;1;9;19;0;2;1;1;0,62;0,6212;0,5;0,2537;49;490;539
"3919";3919;"2011-06-17";2;0;6;4;0;5;1;1;0,54;0,5152;0,94;0,1343;1;5;6
"3873";3873;"2011-06-15";2;0;6;6;0;3;1;1;0,5;0,4848;0,63;0,2537;11;110;121
"13502";13502;"2012-07-21";3;1;7;18;0;6;0;2;0,6;0,5455;0,88;0,194;51;126;177
"20";20;"2011-01-01";1;0;1;19;0;6;0;3;0,42;0,4242;0,88;0,2537;6;31;37
"5635";5635;"2011-08-27";3;0;8;16;0;6;0;3;0,64;0,5758;0,89;0,5224;10;14;24
"8414";8414;"2011-12-22";1;0;12;5;0;4;1;1;0,38;0,3939;0,82;0;1;15;16
"9800";9800;"2012-02-18";1;1;2;6;0;6;0;1;0,24;0,2879;0,7;0;1;8;9
"16002";16002;"2012-11-04";4;1;11;10;0;0;0;1;0,34;0,3333;0,49;0,194;73;287;360
"13323";13323;"2012-07-14";3;1;7;7;0;6;0;1;0,64;0,5909;0,78;0,2836;7;41;48
"11764";11764;"2012-05-10";2;1;5;8;0;4;1;1;0,46;0,4545;0,67;0,3582;27;603;630
"7726";7726;"2011-11-23";4;0;11;12;0;3;1;1;0,48;0,4697;0,55;0,4179;9;151;160
"2422";2422;"2011-04-15";2;0;4;19;1;5;0;1;0,42;0,4242;0,77;0,3881;41;168;209
"2732";2732;"2011-04-28";2;0;4;17;0;4;1;1;0,64;0,6212;0,47;0,3582;49;406;455
"7227";7227;"2011-11-02";4;0;11;17;0;3;1;1;0,44;0,4394;0,62;0,194;30;523;553
"13969";13969;"2012-08-10";3;1;8;5;0;5;1;3;0,7;0,6667;0,84;0,2836;4;29;33
"14500";14500;"2012-09-01";3;1;9;8;0;6;0;2;0,76;0,7121;0,58;0,2537;28;134;162
"10676";10676;"2012-03-25";2;1;3;22;0;0;0;1;0,46;0,4545;0,82;0,1343;19;92;111
"7469";7469;"2011-11-12";4;0;11;19;0;6;0;1;0,42;0,4242;0,5;0,2537;32;139;171
"7692";7692;"2011-11-22";4;0;11;2;0;2;1;3;0,38;0,3939;1;0,1045;2;4;6
"10647";10647;"2012-03-24";2;1;3;17;0;6;0;3;0,5;0,4848;0,88;0,2239;47;68;115
"5813";5813;"2011-09-04";3;0;9;15;0;0;0;1;0,78;0,7576;0,66;0,2836;218;192;410
"10683";10683;"2012-03-26";2;1;3;5;0;1;1;1;0,44;0,4394;0,77;0,1642;0;36;36
